test	num_na	corr_pearson	corr_spearman	sim
ROSACE_effects	0	0.912536881208868	0.7150009403718847	sim1
SLR_effects	0	0.8027476433039908	0.7133377802938029	sim1
ENRICH2_effects	0	0.870217190105666	0.7129655295828674	sim1
EDGER_effects	0	0.8634944239561004	0.7145169796917149	sim1
LIMMA_effects	0	0.848648024421002	0.7138353906395362	sim1
ROSACE_effects	0	0.8993779942240621	0.6763285976436618	sim10
SLR_effects	0	0.7785614603506492	0.6747418681150358	sim10
ENRICH2_effects	0	0.854571701379296	0.674293874943972	sim10
EDGER_effects	0	0.8501090964166289	0.6759074232142126	sim10
LIMMA_effects	0	0.8324875023165205	0.6750097302532952	sim10
ROSACE_effects	0	0.9084741954781062	0.7108241861186253	sim2
SLR_effects	0	0.7973519273526153	0.7084659170523807	sim2
ENRICH2_effects	0	0.8658579957029792	0.7091582356799856	sim2
EDGER_effects	0	0.8596112545475467	0.7103171006146571	sim2
LIMMA_effects	0	0.8442114076061634	0.7087655487240027	sim2
ROSACE_effects	0	0.893312432149224	0.6584890152306696	sim3
SLR_effects	0	0.7680053691671269	0.6571471616451886	sim3
ENRICH2_effects	0	0.8486075431091415	0.6569161993307653	sim3
EDGER_effects	0	0.8434719619188464	0.6580202560038024	sim3
LIMMA_effects	0	0.8179307075341721	0.6572327586502865	sim3
ROSACE_effects	0	0.904356959856329	0.6906910745973526	sim4
SLR_effects	0	0.7882495685914804	0.6888061598430821	sim4
ENRICH2_effects	0	0.8592577840472336	0.6889317541411386	sim4
EDGER_effects	0	0.8550183180051325	0.6900617522967305	sim4
LIMMA_effects	0	0.834650909197112	0.6891847117796787	sim4
ROSACE_effects	0	0.8939012892639201	0.6762656950453187	sim5
SLR_effects	0	0.773091296931812	0.6752236549936486	sim5
ENRICH2_effects	0	0.8512313006294057	0.6747523730599431	sim5
EDGER_effects	0	0.8442529827319271	0.6760069472015733	sim5
LIMMA_effects	0	0.8227200950170591	0.6752175877618181	sim5
ROSACE_effects	0	0.8911410452492347	0.6611164773570161	sim6
SLR_effects	0	0.7642866382707455	0.6591522098662598	sim6
ENRICH2_effects	0	0.8478691574982732	0.6592566554906936	sim6
EDGER_effects	0	0.8391304456972071	0.6606917433708148	sim6
LIMMA_effects	0	0.8236641205273502	0.6596481090005495	sim6
ROSACE_effects	0	0.8952049995495999	0.6811282860283995	sim7
SLR_effects	0	0.775073451080775	0.6795631624757447	sim7
ENRICH2_effects	0	0.8552453025344019	0.6794442273760123	sim7
EDGER_effects	0	0.8445016723680469	0.6808217066483931	sim7
LIMMA_effects	0	0.8285098563246824	0.6798813660663001	sim7
ROSACE_effects	0	0.9031640336993724	0.6834513612327976	sim8
SLR_effects	0	0.785302181208393	0.6819487368322878	sim8
ENRICH2_effects	0	0.8572887438272835	0.6817244131469613	sim8
EDGER_effects	0	0.8510474297529148	0.6832205519419965	sim8
LIMMA_effects	0	0.8317121020129198	0.6822025112298499	sim8
ROSACE_effects	0	0.9086301644169504	0.7084880951203486	sim9
SLR_effects	0	0.7975366123243278	0.7072480537527253	sim9
ENRICH2_effects	0	0.8638656603639363	0.706715481497171	sim9
EDGER_effects	0	0.8609619266027108	0.708133310264659	sim9
LIMMA_effects	0	0.8450702909000801	0.7073263328624395	sim9
