test	TP	FN	FP	TN	NAR	FDR	POWER	fdr	sim
ROSACE_tests	0	0.2455616392898623	0	0.7544383607101377	0	NA	0	0	sim1
SLR_tests	0	0	0	0	1	NA	NA	0	sim1
ENRICH2_tests	0	0.2455616392898623	0	0.7544383607101377	0	NA	0	0	sim1
DIMSUM_tests	0	0.20225651236104197	0	0.7049941927990708	0.09274929483988716	NA	0	0	sim1
ROSACE_tests	0.15413970466235274	0.09142193462750954	0.2867098058735689	0.4677285548365688	0	0.6503575461046293	0.6277027027027027	0.005	sim1
SLR_tests	0	0	0	0	1	NA	NA	0.005	sim1
ENRICH2_tests	0.1674133067861291	0.0781483325037332	0.4854819976771197	0.26895636303301806	0	0.7435832274459975	0.6817567567567567	0.005	sim1
DIMSUM_tests	0.14982578397212545	0.05243072838891654	0.47353575576572093	0.23145843703334992	0.09274929483988716	0.7596486558424275	0.7407711238720263	0.005	sim1
ROSACE_tests	0.16144018583042974	0.08412145345943256	0.3089430894308943	0.44549527127924343	0	0.6567901234567901	0.6574324324324324	0.01	sim1
SLR_tests	0	0	0	0	1	NA	NA	0.01	sim1
ENRICH2_tests	0.1753774680603949	0.070184171229467393	0.5121951219512195	0.2422432387589182	0	0.7449324324324325	0.7141891891891892	0.01	sim1
DIMSUM_tests	0.15463746474199436	0.04761904761904761	0.4965986394557823	0.20839555334328855	0.09274929483988716	0.762547770700637	0.7645611156685808	0.01	sim1
ROSACE_tests	0.1798573087771694	0.06570433051269288	0.39223494275759085	0.3622034179525469	0	0.685614849187935	0.7324324324324324	0.05	sim1
SLR_tests	0	0	0	0	1	NA	NA	0.05	sim1
ENRICH2_tests	0.19296499087439853	0.05259664841546375	0.5697693711630993	0.1846689895470383	0	0.7470089188601261	0.7858108108108108	0.05	sim1
DIMSUM_tests	0.16674962667994028	0.03550688568110171	0.5440517670482827	0.16094242575078813	0.09274929483988716	0.7654061624649859	0.8244462674323215	0.05	sim1
ROSACE_tests	0	0.22880371660859464	0	0.7711962833914053	0	NA	0	0	sim10
SLR_tests	0	0	0	0	1	NA	NA	0	sim10
ENRICH2_tests	0	0.22880371660859464	0	0.7711962833914053	0	NA	0	0	sim10
DIMSUM_tests	0	0.1879873900779824	0	0.718931475029036	0.0930811348929816	NA	0	0	sim10
ROSACE_tests	0.14949394391903104	0.07930977268956363	0.3013107682097229	0.4698855151816824	0	0.6683842473316157	0.653372008701958	0.005	sim10
SLR_tests	0	0	0	0	1	NA	NA	0.005	sim10
ENRICH2_tests	0.16177202588352413	0.06703169072507052	0.5042309606769537	0.2669653227144516	0	0.7571001494768311	0.70703408266860035	0.005	sim10
DIMSUM_tests	0.14285714285714285	0.04513024722083955	0.4921187987390078	0.2268126762900282	0.0930811348929816	0.7750195975960282	0.7599293909973521	0.005	sim10
ROSACE_tests	0.15563298490127758	0.07317073170731707	0.32586693213870915	0.4453293512526962	0	0.6767746381805652	0.6802030456852791	0.01	sim10
SLR_tests	0	0	0	0	1	NA	NA	0.01	sim10
ENRICH2_tests	0.1685747469719595	0.06022896963663514	0.5254687240749959	0.2457275593164095	0	0.7571121204876883	0.7367657722987672	0.01	sim10
DIMSUM_tests	0.14667330346772856	0.04131408661025385	0.5105359216857475	0.20839555334328855	0.0930811348929816	0.776824034334764	0.7802294792586055	0.01	sim10
ROSACE_tests	0.17222498755599802	0.05657872905259665	0.41264310602289694	0.3585531773685084	0	0.7055319148936169	0.7527193618564177	0.05	sim10
SLR_tests	0	0	0	0	1	NA	NA	0.05	sim10
ENRICH2_tests	0.18483490957358553	0.04396880703500912	0.5830429732868757	0.18815331010452965	0	0.7592912705272256	0.8078317621464829	0.05	sim10
DIMSUM_tests	0.15762402521984403	0.03036336485813837	0.5578231292517006	0.16110834577733532	0.0930811348929816	0.7796846011131726	0.8384819064430715	0.05	sim10
ROSACE_tests	0	0.2450638792102207	0	0.7549361207897793	0	NA	0	0	sim2
SLR_tests	0	0	0	0	1	NA	NA	0	sim2
ENRICH2_tests	0	0.2450638792102207	0	0.7549361207897793	0	NA	0	0	sim2
DIMSUM_tests	0	0.2020905923344948	0	0.7071511531441845	0.09075825452132072	NA	0	0	sim2
ROSACE_tests	0.1519827443172391	0.0930811348929816	0.29036004645760743	0.4645760743321719	0	0.6564141035258815	0.6201760324983073	0.005	sim2
SLR_tests	0	0	0	0	1	NA	NA	0.005	sim2
ENRICH2_tests	0.16558818649410983	0.07947569271611084	0.48664343786295006	0.2682926829268293	0	0.7461205800050879	0.6756939742721734	0.005	sim2
DIMSUM_tests	0.14634146341463414	0.05574912891986063	0.4725402356064377	0.2346109175377468	0.09075825452132072	0.7635388739946382	0.7241379310344827	0.005	sim2
ROSACE_tests	0.15878546540567445	0.0862784138045462	0.31425253028040484	0.4406835905093745	0	0.6643283058575938	0.6479350033852403	0.01	sim2
SLR_tests	0	0	0	0	1	NA	NA	0.01	sim2
ENRICH2_tests	0.17471378795420608	0.0703500912560146	0.5090426414468227	0.2458934793429567	0	0.7444794952681387	0.7129316181448883	0.01	sim2
DIMSUM_tests	0.1521486643437863	0.04994192799070848	0.49311431889829105	0.21403683424589348	0.09075825452132072	0.7642067369503729	0.7528735632183908	0.01	sim2
ROSACE_tests	0.17803218848515015	0.06703169072507052	0.3943919031027045	0.3605442176870749	0	0.6889855072463767	0.7264725795531483	0.05	sim2
SLR_tests	0	0	0	0	1	NA	NA	0.05	sim2
ENRICH2_tests	0.19263315082130417	0.05243072838891654	0.571096731375477	0.1838393894143023	0	0.747773191396915	0.7860528097494922	0.05	sim2
DIMSUM_tests	0.16326530612244897	0.03882528621204579	0.5468724074995852	0.1602787456445993	0.09075825452132072	0.7700934579439253	0.8078817733990148	0.05	sim2
ROSACE_tests	0	0.24871411979425917	0	0.7512858802057408	0	NA	0	0	sim3
SLR_tests	0	0	0	0	1	NA	NA	0	sim3
ENRICH2_tests	0	0.24871411979425917	0	0.7512858802057408	0	NA	0	0	sim3
DIMSUM_tests	0	0.20441347270615565	0	0.7011780321884852	0.09440849510535922	NA	0	0	sim3
ROSACE_tests	0.15530114484818316	0.093412974946076	0.2818981251037	0.4693877551020408	0	0.6447817836812144	0.6244162775183455	0.005	sim3
SLR_tests	0	0	0	0	1	NA	NA	0.005	sim3
ENRICH2_tests	0.17471378795420608	0.0740003318400531	0.4924506387921022	0.2588352414136386	0	0.7381248445660283	0.7024683122081388	0.005	sim3
DIMSUM_tests	0.15364194458271113	0.0507715281234445	0.4793429566948731	0.2218350754936121	0.09440849510535922	0.7572739187418086	0.7516233766233766	0.005	sim3
ROSACE_tests	0.16110834577733532	0.08760577401692385	0.30761572921851665	0.4436701509872242	0	0.6562831858407079	0.647765176784523	0.01	sim3
SLR_tests	0	0	0	0	1	NA	NA	0.01	sim3
ENRICH2_tests	0.1805209888833582	0.06819313091090094	0.5133565621370499	0.2379293180686909	0	0.7398373983739838	0.7258172114743162	0.01	sim3
DIMSUM_tests	0.15762402521984403	0.0467894474863116	0.4961008793761407	0.20507715281234443	0.09440849510535922	0.7588832487309645	0.7711038961038962	0.01	sim3
ROSACE_tests	0.18085282893645263	0.06786129085780654	0.3904098224655716	0.3608760577401692	0	0.6834156259076386	0.7271514342895263	0.05	sim3
SLR_tests	0	0	0	0	1	NA	NA	0.05	sim3
ENRICH2_tests	0.19810851169736188	0.05060560809689729	0.5599800895968143	0.1913057906089265	0	0.7386736703873933	0.7965310206804537	0.05	sim3
