test_cutoff	power	method
0	0	Enrich2
0.01	0.9	Enrich2
0.02	0.9	Enrich2
0.03	0.9	Enrich2
0.04	0.9	Enrich2
0.05	0.9	Enrich2
0.06	0.9	Enrich2
0.07	0.9	Enrich2
0.08	0.9	Enrich2
0.09	0.9	Enrich2
0.1	0.9	Enrich2
0.11	0.9	Enrich2
0.12	0.9	Enrich2
0.13	1	Enrich2
0.14	1	Enrich2
0.15	1	Enrich2
0.16	1	Enrich2
0.17	1	Enrich2
0.18	1	Enrich2
0.19	1	Enrich2
0.2	1	Enrich2
0	0	Rosace
0.01	0.9	Rosace
0.02	0.9	Rosace
0.03	1	Rosace
0.04	1	Rosace
0.05	1	Rosace
0.06	1	Rosace
0.07	1	Rosace
0.08	1	Rosace
0.09	1	Rosace
0.1	1	Rosace
0.11	1	Rosace
0.12	1	Rosace
0.13	1	Rosace
0.14	1	Rosace
0.15	1	Rosace
0.16	1	Rosace
0.17	1	Rosace
0.18	1	Rosace
0.19	1	Rosace
0.2	1	Rosace
0	0.7	Rosace(nopos)
0.01	1	Rosace(nopos)
0.02	1	Rosace(nopos)
0.03	1	Rosace(nopos)
0.04	1	Rosace(nopos)
0.05	1	Rosace(nopos)
0.06	1	Rosace(nopos)
0.07	1	Rosace(nopos)
0.08	1	Rosace(nopos)
0.09	1	Rosace(nopos)
0.1	1	Rosace(nopos)
0.11	1	Rosace(nopos)
0.12	1	Rosace(nopos)
0.13	1	Rosace(nopos)
0.14	1	Rosace(nopos)
0.15	1	Rosace(nopos)
0.16	1	Rosace(nopos)
0.17	1	Rosace(nopos)
0.18	1	Rosace(nopos)
0.19	1	Rosace(nopos)
0.2	1	Rosace(nopos)
0	0	Naive
0.01	0.9	Naive
0.02	0.9	Naive
0.03	0.9	Naive
0.04	0.9	Naive
0.05	1	Naive
0.06	1	Naive
0.07	1	Naive
0.08	1	Naive
0.09	1	Naive
0.1	1	Naive
0.11	1	Naive
0.12	1	Naive
0.13	1	Naive
0.14	1	Naive
0.15	1	Naive
0.16	1	Naive
0.17	1	Naive
0.18	1	Naive
0.19	1	Naive
0.2	1	Naive
0	0	mutscan(edgeR)
0.01	0.8	mutscan(edgeR)
0.02	0.9	mutscan(edgeR)
0.03	0.9	mutscan(edgeR)
0.04	0.9	mutscan(edgeR)
0.05	1	mutscan(edgeR)
0.06	1	mutscan(edgeR)
0.07	1	mutscan(edgeR)
0.08	1	mutscan(edgeR)
0.09	1	mutscan(edgeR)
0.1	1	mutscan(edgeR)
0.11	1	mutscan(edgeR)
0.12	1	mutscan(edgeR)
0.13	1	mutscan(edgeR)
0.14	1	mutscan(edgeR)
0.15	1	mutscan(edgeR)
0.16	1	mutscan(edgeR)
0.17	1	mutscan(edgeR)
0.18	1	mutscan(edgeR)
0.19	1	mutscan(edgeR)
0.2	1	mutscan(edgeR)
0	0	mutscan(limma)
0.01	0.8	mutscan(limma)
0.02	0.9	mutscan(limma)
0.03	0.9	mutscan(limma)
0.04	0.9	mutscan(limma)
0.05	0.9	mutscan(limma)
0.06	0.9	mutscan(limma)
0.07	0.9	mutscan(limma)
0.08	0.9	mutscan(limma)
0.09	0.9	mutscan(limma)
0.1	0.9	mutscan(limma)
0.11	0.9	mutscan(limma)
0.12	0.9	mutscan(limma)
0.13	0.9	mutscan(limma)
0.14	0.9	mutscan(limma)
0.15	0.9	mutscan(limma)
0.16	1	mutscan(limma)
0.17	1	mutscan(limma)
0.18	1	mutscan(limma)
0.19	1	mutscan(limma)
0.2	1	mutscan(limma)
0	0	DiMSum
0.01	0.1	DiMSum
0.02	0.3	DiMSum
0.03	0.3	DiMSum
0.04	0.5	DiMSum
0.05	0.6	DiMSum
0.06	0.6	DiMSum
0.07	0.6	DiMSum
0.08	0.6	DiMSum
0.09	0.6	DiMSum
0.1	0.8	DiMSum
0.11	0.8	DiMSum
0.12	0.8	DiMSum
0.13	0.8	DiMSum
0.14	0.8	DiMSum
0.15	0.8	DiMSum
0.16	0.8	DiMSum
0.17	0.8	DiMSum
0.18	0.8	DiMSum
0.19	0.8	DiMSum
0.2	0.8	DiMSum
