test	TP	FN	FP	TN	NAR	FDR	POWER	fdr	sim
ROSACE_tests	0	0.20442216011836264	0	0.7955778398816373	0	NA	0	0	sim1
SLR_tests	0	0.20442216011836264	0	0.7955778398816373	0	NA	0	0	sim1
ENRICH2_tests	0.0054249547920434	0.1989972053263193	0.00106855170146309	0.7945092881801743	0	0.16455696202531644	0.02653799758745476	0	sim1
EDGER_tests	0	0.20442216011836264	0	0.7955778398816373	0	NA	0	0	sim1
LIMMA_tests	0	0.20442216011836264	0	0.7955778398816373	0	NA	0	0	sim1
ROSACE_tests	0.1798454709847115	0.02457668913365116	0.09000493177708367	0.7055729081045536	0	0.3335363996344806	0.8797748291113792	0.005	sim1
SLR_tests	0	0.20442216011836264	0	0.7955778398816373	0	NA	0	0.005	sim1
ENRICH2_tests	0.1671050468518823	0.03731711326648036	0.08770343580470162	0.7078744040769357	0	0.34419354838709676	0.8174507438681142	0.005	sim1
EDGER_tests	0	0.20442216011836264	0	0.7955778398816373	0	NA	0	0.005	sim1
LIMMA_tests	0.07792207792207792	0.12650008219628472	0.00213710340292618	0.7934407364787112	0	0.02669404517453798	0.38118214716525933	0.005	sim1
ROSACE_tests	0.18321551865855665	0.02120664145980601	0.10817031070195628	0.6874075291796811	0	0.37122708039492247	0.896260554885404	0.01	sim1
SLR_tests	0	0.20442216011836264	0	0.7955778398816373	0	NA	0	0.01	sim1
ENRICH2_tests	0.17129705737300674	0.03312510274535591	0.10085484136117048	0.6947229985204669	0	0.3705829054666264	0.837957378367511	0.01	sim1
EDGER_tests	0	0.20442216011836264	0	0.7955778398816373	0	NA	0	0.01	sim1
LIMMA_tests	0.08901857636034852	0.11540358375801414	0.00575373993095512	0.7898240999506823	0	0.06071118820468343	0.4354644149577804	0.01	sim1
ROSACE_tests	0.1920927174091731	0.01232944270918954	0.18116061154035837	0.614417228341279	0	0.4853556485355649	0.939686369119421	0.05	sim1
SLR_tests	0	0.20442216011836264	0	0.7955778398816373	0	NA	0	0.05	sim1
ENRICH2_tests	0.18305112608910076	0.02137103402926187	0.14474765740588524	0.6508301824757521	0	0.44157472417251753	0.8954563731403297	0.05	sim1
EDGER_tests	0.05877034358047016	0.1456518165378925	0.00641131020877856	0.7891665296728588	0	0.09836065573770492	0.28749497386409323	0.05	sim1
LIMMA_tests	0.11737629459148446	0.08704586552687818	0.03575538385664967	0.7598224560249877	0	0.23349436392914655	0.5741857659831122	0.05	sim1
ROSACE_tests	0	0.19924379418050303	0	0.8007562058194969	0	NA	0	0	sim10
SLR_tests	0	0.19924379418050303	0	0.8007562058194969	0	NA	0	0	sim10
ENRICH2_tests	0.00468518822949202	0.19455860595101104	9.041591320072332e-4	0.7998520466874898	0	0.16176470588235295	0.02351485148514851	0	sim10
EDGER_tests	0	0.19924379418050303	0	0.8007562058194969	0	NA	0	0	sim10
LIMMA_tests	0	0.19924379418050303	0	0.8007562058194969	0	NA	0	0	sim10
ROSACE_tests	0.17968107841525563	0.01956271576524741	0.0900871280618116	0.7106690777576854	0	0.3339427178549665	0.901815181518152	0.005	sim10
SLR_tests	0	0.19924379418050303	0	0.8007562058194969	0	NA	0	0.005	sim10
ENRICH2_tests	0.1687489725464409	0.03049482163406214	0.09296399802728916	0.7077922077922078	0	0.355213567839196	0.8469471947194719	0.005	sim10
EDGER_tests	0	0.19924379418050303	0	0.8007562058194969	0	NA	0	0.005	sim10
LIMMA_tests	0.07931941476245273	0.1199243794180503	0.00460299194476409	0.7961532138747328	0	0.05484818805093046	0.3981023102310231	0.005	sim10
ROSACE_tests	0.18370869636692425	0.01553509781357882	0.10915666611869144	0.6915995397008056	0	0.3727196182991861	0.9220297029702972	0.01	sim10
SLR_tests	0	0.19924379418050303	0	0.8007562058194969	0	NA	0	0.01	sim10
ENRICH2_tests	0.17220121650501397	0.02704257767548907	0.10340292618773632	0.6973532796317606	0	0.3751864002385923	0.8642739273927392	0.01	sim10
EDGER_tests	0	0.19924379418050303	0	0.8007562058194969	0	NA	0	0.01	sim10
LIMMA_tests	0.08951175406871609	0.10973204011178694	0.00912378760480026	0.7916324182146967	0	0.0925	0.4492574257425742	0.01	sim10
ROSACE_tests	0.19069538056879828	0.00854841361170475	0.18428407036001973	0.6164721354594772	0	0.49145111793073215	0.9570957095709572	0.05	sim10
SLR_tests	0	0.19924379418050303	0	0.8007562058194969	0	NA	0	0.05	sim10
ENRICH2_tests	0.18362650008219628	0.01561729409830675	0.14836429393391418	0.6523919118855828	0	0.4468927952463481	0.9216171617161716	0.05	sim10
EDGER_tests	0.07290810455367418	0.12633568962682887	0.01537070524412296	0.785385500575374	0	0.17411545623836125	0.36592409240924095	0.05	sim10
LIMMA_tests	0.11729409830675654	0.08194969587374651	0.04701627486437613	0.7537399309551208	0	0.28614307153576785	0.5886963696369637	0.05	sim10
ROSACE_tests	0	0.1877363143185928	0	0.8122636856814072	0	NA	0	0	sim2
SLR_tests	0	0.1877363143185928	0	0.8122636856814072	0	NA	0	0	sim2
ENRICH2_tests	0.00427420680585237	0.1834621075127404	0.00106855170146309	0.8111951339799441	0	0.2	0.02276707530647985	0	sim2
EDGER_tests	0	0.1877363143185928	0	0.8122636856814072	0	NA	0	0	sim2
LIMMA_tests	0	0.1877363143185928	0	0.8122636856814072	0	NA	0	0	sim2
ROSACE_tests	0.16661186914351472	0.02112444517507808	0.09189544632582608	0.7203682393555811	0	0.3554848966613672	0.887478108581436	0.005	sim2
SLR_tests	0	0.1877363143185928	0	0.8122636856814072	0	NA	0	0.005	sim2
ENRICH2_tests	0.15428242643432516	0.03345388788426763	0.09271740917310538	0.7195462765083018	0	0.37537437603993346	0.8218038528896673	0.005	sim2
EDGER_tests	0	0.1877363143185928	0	0.8122636856814072	0	NA	0	0.005	sim2
LIMMA_tests	0.07537399309551208	0.11236232122308072	0.00131514055564688	0.8109485451257603	0	0.01714898177920686	0.40148861646234674	0.005	sim2
ROSACE_tests	0.17055729081045537	0.01717902350813743	0.1109649843827059	0.7012987012987013	0	0.39416058394160586	0.908493870402802	0.01	sim2
SLR_tests	0	0.1877363143185928	0	0.8122636856814072	0	NA	0	0.01	sim2
ENRICH2_tests	0.1583922406707217	0.02934407364787111	0.10414269275028767	0.7081209929311195	0	0.3966812773951159	0.8436952714535902	0.01	sim2
EDGER_tests	0	0.1877363143185928	0	0.8122636856814072	0	NA	0	0.01	sim2
LIMMA_tests	0.08770343580470162	0.10003287851389116	0.00427420680585237	0.8079894788755548	0	0.04647006255585344	0.4671628721541156	0.01	sim2
ROSACE_tests	0.1779549564359691	0.0097813578826237	0.182804537234917	0.6294591484464902	0	0.506721348826612	0.9478984238178634	0.05	sim2
SLR_tests	0	0.1877363143185928	0	0.8122636856814072	0	NA	0	0.05	sim2
ENRICH2_tests	0.1687489725464409	0.0189873417721519	0.15321387473286208	0.6590498109485451	0	0.47587439366862394	0.898861646234676	0.05	sim2
EDGER_tests	0.0667433831990794	0.1209929311195134	0.01126089100772645	0.8010027946736807	0	0.14436248682824024	0.3555166374781086	0.05	sim2
LIMMA_tests	0.112033536084169	0.0757027782344238	0.02786454052276837	0.7843991451586388	0	0.19917743830787307	0.5967600700525395	0.05	sim2
ROSACE_tests	0	0.19595594279138584	0	0.8040440572086142	0	NA	0	0	sim3
SLR_tests	0	0.19595594279138584	0	0.8040440572086142	0	NA	0	0	sim3
ENRICH2_tests	0.00583593621568305	0.19012000657570277	7.397665625513727e-4	0.8033042906460628	0	0.1125	0.02978187919463087	0	sim3
EDGER_tests	0	0.19595594279138584	0	0.8040440572086142	0	NA	0	0	sim3
LIMMA_tests	0	0.19595594279138584	0	0.8040440572086142	0	NA	0	0	sim3
ROSACE_tests	0.17590004931777084	0.02005589347361499	0.08959395035344403	0.7144501068551702	0	0.3374613003095975	0.8976510067114094	0.005	sim3
SLR_tests	0	0.19595594279138584	0	0.8040440572086142	0	NA	0	0.005	sim3
ENRICH2_tests	0.16455696202531644	0.03139898076606937	0.08778563208942956	0.7162584251191846	0	0.3478827361563518	0.839765100671141	0.005	sim3
EDGER_tests	0	0.19595594279138584	0	0.8040440572086142	0	NA	0	0.005	sim3
LIMMA_tests	0.06238698010849909	0.13356896268288673	0.00304126253493342	0.8010027946736807	0	0.04648241206030151	0.3183724832214765	0.005	sim3
ROSACE_tests	0.18009205983889529	0.01586388295249054	0.1090744698339635	0.6949695873746506	0	0.3772029562251279	0.9190436241610738	0.01	sim3
SLR_tests	0	0.19595594279138584	0	0.8040440572086142	0	NA	0	0.01	sim3
ENRICH2_tests	0.16784481341443366	0.02811112937695216	0.10060825250698668	0.7034358047016275	0	0.3747703612982241	0.8565436241610738	0.01	sim3
EDGER_tests	0	0.19595594279138584	0	0.8040440572086142	0	NA	0	0.01	sim3
LIMMA_tests	0.07356567483149762	0.1223902679598882	0.00690448791714614	0.797139569291468	0	0.08580183861082737	0.37541946308724833	0.01	sim3
ROSACE_tests	0.18658556633240175	0.00937037645898405	0.1812428078250863	0.6228012493835279	0	0.49273743016759775	0.9521812080536912	0.05	sim3
SLR_tests	0	0.19595594279138584	0	0.8040440572086142	0	NA	0	0.05	sim3
